ficha,concepto,calidad_ficha,mejor_similitud,similitud_promedio,fuente,tipo_fuente,ubicacion,pagina_o_bloque,similitud,detalle_similitud,cita_textual,fragmento_id,ruta_fuente,ubicaciones_agrupadas,observacion
5,diseño,media,0.2315,0.181,soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,pdf,p. 10,10,0.2315,tfidf=0.1615; bonus=0.0700,El nuevo modelo de gestión empresarial contempla en el diseño de sus productos y servicios los siguientes aspectos: se diseñará a partir de la identificación de las necesidades de los clientes/usuarios; así como se reevaluarán sus requerimientos mediante la ejecución de investigaciones sistemáticas; se involucrará en el proceso de diseño a los trabajadores que se encuentran en contacto directo con los usuarios y se reconsiderará la capacidad de respuesta de la organización ante cada nuevo requerimiento.,soto_chavez_y_colaboradores_2020_decision_gerencial_clima_organizacional_e21f9a24e3_b0010_f003,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,"canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 4; canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 7; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 10","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto."
5,diseño,media,0.2315,0.181,canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,pdf,p. 4,4,0.1617,tfidf=0.0917; bonus=0.0700,Consideramos que la toma de decisiones es un proceso porque durante un periodo de tiempo se suceden una serie de etapas de forma secuencial como se muestra en la Figura 3. Inteligencia Diseño Selección Implantación Revisión Figura 3. Etapas del proceso de toma de decisiones.,canos_y_colaboradores_toma_decisiones_empresa_proceso_clasificacion_af2602b867_b0004_f002,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,"canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 4; canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 7; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 10","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto."
5,diseño,media,0.2315,0.181,canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,pdf,p. 7,7,0.1499,tfidf=0.0799; bonus=0.0700,"1. Decisiones estructuradas (=decisiones programadas).  Las tres fases principales (inteligencia, diseño y elección) son estructuradas.  Se usan métodos matemáticos y reglas de decisión en todas las fases. 2.",canos_y_colaboradores_toma_decisiones_empresa_proceso_clasificacion_af2602b867_b0007_f002,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,"canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 4; canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 7; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 10","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto."
6,diseño de alternativas,media,0.159,0.1138,canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,pdf,p. 5,5,0.159,tfidf=0.1390; bonus=0.0200,"B. Fase de diseño, modelización o concepción. Se identifican y enumeran todas las alternativas, estrategias o vías de acción posibles.",canos_y_colaboradores_toma_decisiones_empresa_proceso_clasificacion_af2602b867_b0005_f002,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,"canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 4; canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 5; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 10","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 1 referencia(s) de baja similitud que podrían introducir ruido."
6,diseño de alternativas,media,0.159,0.1138,soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,pdf,p. 10,10,0.1137,tfidf=0.1037; bonus=0.0100,El nuevo modelo de gestión empresarial contempla en el diseño de sus productos y servicios los siguientes aspectos: se diseñará a partir de la identificación de las necesidades de los clientes/usuarios; así como se reevaluarán sus requerimientos mediante la ejecución de investigaciones sistemáticas; se involucrará en el proceso de diseño a los trabajadores que se encuentran en contacto directo con los usuarios y se reconsiderará la capacidad de respuesta de la organización ante cada nuevo requerimiento.,soto_chavez_y_colaboradores_2020_decision_gerencial_clima_organizacional_e21f9a24e3_b0010_f003,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,"canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 4; canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 5; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 10","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 1 referencia(s) de baja similitud que podrían introducir ruido."
6,diseño de alternativas,media,0.159,0.1138,canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,pdf,p. 4,4,0.0689,tfidf=0.0589; bonus=0.0100,Consideramos que la toma de decisiones es un proceso porque durante un periodo de tiempo se suceden una serie de etapas de forma secuencial como se muestra en la Figura 3. Inteligencia Diseño Selección Implantación Revisión Figura 3. Etapas del proceso de toma de decisiones.,canos_y_colaboradores_toma_decisiones_empresa_proceso_clasificacion_af2602b867_b0004_f002,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,"canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 4; canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 5; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 10","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 1 referencia(s) de baja similitud que podrían introducir ruido."
7,eficacia organizativa,baja,0.073,0.073,soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,pdf,p. 14,14,0.073,tfidf=0.0630; bonus=0.0100,"proceso de comunicar e informar, interna y externamente, permite acompañar las decisiones estratégicas que implantan los niveles directivos en una estructura organizativa, sostener el proyecto corporativo y generar transparencia en relación con las acciones ejecutadas (Pimienta, 2008). En este mismo sentido, la comunicación es un proceso por medio del cual ocurre la construcción social de la realidad organizacional, donde los símbolos y las significaciones son fundamentales en las diversas formas de manifestación del comportamiento organizacional (Brönstrup, Godoi, & Ribeiro, 2007).",soto_chavez_y_colaboradores_2020_decision_gerencial_clima_organizacional_e21f9a24e3_b0014_f002,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,"soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 14",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Hay 1 referencia(s) de baja similitud que podrían introducir ruido.
8,fuentes consulta,baja,0.0723,0.0676,solano-toma-decisiones-gerenciales.pdf,pdf,p. 6,6,0.0723,tfidf=0.0523; bonus=0.0200,"Sin embargo, debe procederse con cautela, pues muchas veces lo que se obtiene de esas personas son opiniones y no hechos. La forma de evitar que ello suceda es analizar cuidadosamente si se recibe la misma respuesta cuando se plantea idéntica pregunta a diferentes fuentes de información. Si son iguales, se tienen hechos; si son diferentes, se cuenta con opiniones.",solano_toma_decisiones_gerenciales_cfff4af2eb_b0006_f003,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/solano-toma-decisiones-gerenciales.pdf,"solano-toma-decisiones-gerenciales.pdf, p. 6; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 11; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 8",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 3 referencia(s) de baja similitud que podrían introducir ruido.
8,fuentes consulta,baja,0.0723,0.0676,soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,pdf,p. 8,8,0.067,tfidf=0.0570; bonus=0.0100,"211-230 La importancia de la decisión gerencial para generar un clima organizacional óptimo en una empresa Método La investigación se basó en un diseño bibliográfico y de tipo documental. Esta se concreta exclusivamente en la recopilación de información de diversas fuentes, con el objeto de organizarla describirla e interpretarla de acuerdo con ciertos procedimientos que garanticen confiabilidad y objetividad en la presentación de los resultados (Palella Stracuzzi & Martins Pestana, 2010). Para lograr este propósito se utilizó herramientas como textos, documentos y artículos científicos publicados disponibles en la web.",soto_chavez_y_colaboradores_2020_decision_gerencial_clima_organizacional_e21f9a24e3_b0008_f001,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,"solano-toma-decisiones-gerenciales.pdf, p. 6; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 11; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 8",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 3 referencia(s) de baja similitud que podrían introducir ruido.
8,fuentes consulta,baja,0.0723,0.0676,soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,pdf,p. 11,11,0.0634,tfidf=0.0534; bonus=0.0100,"Ante esta situación, se requiere que la gerencia maneje las diversas situaciones que ocurren por estos efectos del mundo actual, por lo que la formación gerencial juega un papel importante para tal fin. La formación gerencial es una herramienta imprescindible en la toma de decisiones para fortalecer los lazos a todo nivel en la organización, donde se analizan como un todo interactuando entre sí, pero sin el criterio holístico y transdisciplinario (Canelones & Fuentes, 2015). Indistintamente, la decisión gerencial sigue una secuencia lógica la cual permite llegue la solución en el momento preciso.",soto_chavez_y_colaboradores_2020_decision_gerencial_clima_organizacional_e21f9a24e3_b0011_f002,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,"solano-toma-decisiones-gerenciales.pdf, p. 6; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 11; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 8",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 3 referencia(s) de baja similitud que podrían introducir ruido.
9,fuentes consulta utilizadas,baja,0.0723,0.0676,solano-toma-decisiones-gerenciales.pdf,pdf,p. 6,6,0.0723,tfidf=0.0523; bonus=0.0200,"Sin embargo, debe procederse con cautela, pues muchas veces lo que se obtiene de esas personas son opiniones y no hechos. La forma de evitar que ello suceda es analizar cuidadosamente si se recibe la misma respuesta cuando se plantea idéntica pregunta a diferentes fuentes de información. Si son iguales, se tienen hechos; si son diferentes, se cuenta con opiniones.",solano_toma_decisiones_gerenciales_cfff4af2eb_b0006_f003,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/solano-toma-decisiones-gerenciales.pdf,"solano-toma-decisiones-gerenciales.pdf, p. 6; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 11; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 8",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 3 referencia(s) de baja similitud que podrían introducir ruido.
9,fuentes consulta utilizadas,baja,0.0723,0.0676,soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,pdf,p. 8,8,0.067,tfidf=0.0570; bonus=0.0100,"211-230 La importancia de la decisión gerencial para generar un clima organizacional óptimo en una empresa Método La investigación se basó en un diseño bibliográfico y de tipo documental. Esta se concreta exclusivamente en la recopilación de información de diversas fuentes, con el objeto de organizarla describirla e interpretarla de acuerdo con ciertos procedimientos que garanticen confiabilidad y objetividad en la presentación de los resultados (Palella Stracuzzi & Martins Pestana, 2010). Para lograr este propósito se utilizó herramientas como textos, documentos y artículos científicos publicados disponibles en la web.",soto_chavez_y_colaboradores_2020_decision_gerencial_clima_organizacional_e21f9a24e3_b0008_f001,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,"solano-toma-decisiones-gerenciales.pdf, p. 6; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 11; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 8",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 3 referencia(s) de baja similitud que podrían introducir ruido.
